Cust_RefID,Cust_FirstName,Cust_LastName,Cust_PhoneNo,Cust_EmailAddress,Cust_EmailDomain,Cust_StreetAddress,Cust_Zip,Cust_AddressCity,Cust_AddressState,Cust_AddressStateISO,Cust_AddressCountry,Cust_Acct_IBAN,Device_Manufacturer,Connection Type,UA_OS,ISP City,UserIP_Blacklist,TrueIP_Blacklist,VirtualMachineSession,Page activity time,Cust_EstablishedIP,UserSessionInputIP,UserTrueIP,ISP,Device_ID,UserAgent,FinalScore
3F154E72-9580-4E,Steven,Perry,+1-970-485-9570x81894,Steven_Perry@icloud.com,icloud.com,9667 Anderson Isle Suite 872,74756,New York,New York,NY,US,US20612650599162738790,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),Windows,Phoenix,0.0,0.6896622267037481,0,7763,166.26.226.252,23.115.21.18,25.174.57.6,Comcast,e07919833a54473495a612c2a0f0fcab,Mozilla/5.0 (Windows; 15) AppleWebKit/537.36,10
801D656E-5B54-4B,Derrick,Holland,+1-693-269-7137x31099,Derrick_Holland@outlook.com,outlook.com,50877 Frazier Extensions Suite 025,22157,San Jose,California,CA,US,US78174089988915728180,Dell Inc.,Fixed Broadband (Fibre/Cable/DSL),Windows,San Jose,0.0,0.0,0,235774,21.182.64.20,21.182.64.20,21.182.64.20,Comcast,fea348d69c5f47ebb87f982cbc73ca24,Mozilla/5.0 (Windows; 10) AppleWebKit/537.36,100
C45A83AF-EE6C-48,Robert,Higgins,001-487-780-5523x023,Robert_Higgins@protonmail.com,protonmail.com,298 Wood Mission Suite 792,73872,New York,New York,NY,US,US31639903491920926494,Dell Inc.,Fixed Broadband (Fibre/Cable/DSL),Android,New York,0.0,0.0,0,129741,150.97.7.223,150.97.7.223,150.97.7.223,AT&T,9ac29631fe44496d8e6ace6c361f1f60,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,100
8C3AF574-DC23-49,Victoria,Wright,8595940678,Victoria_Wright@outlook.com,outlook.com,05811 Kari Curve,14538,San Antonio,Texas,TX,US,US35468682155176258507,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),Windows,San Antonio,0.0,0.0,0,90525,141.37.169.210,141.37.169.210,141.37.169.210,AT&T,3450e314e2104fe9ac7fa586d33fa8cf,Mozilla/5.0 (Windows; 15) AppleWebKit/537.36,100
422CB69C-82C2-41,Kelsey,Osborne,506-499-8662,Kelsey_Osborne@gmail.com,gmail.com,81721 Justin Views,12231,San Antonio,Texas,TX,US,US95576821163864620404,Dell Inc.,Satellite,iOS,San Antonio,0.0,0.0,0,294311,77.0.205.236,77.0.205.236,77.0.205.236,Verizon,2efa2616b0754c74983381b3e6a2b09d,Mozilla/5.0 (iOS; 12) AppleWebKit/537.36,100
433DCEFC-40C8-48,Laurie,Spears,001-454-809-7422,Laurie_Spears@hotmail.com,hotmail.com,4522 Velez Cliffs Suite 668,43322,Chicago,Illinois,IL,US,US59793665355865928816,Apple Inc.,Mobile Broadband,Android,Chicago,0.0,0.0,0,223644,122.239.233.126,122.239.233.126,122.239.233.126,T-Mobile,2b7ca5f7b1c34bb29e6c8eee79791c51,Mozilla/5.0 (Android; 13) AppleWebKit/537.36,99
226F61E5-6AD3-44,Angela,Smith,774.254.2579,Angela_Smith@protonmail.com,protonmail.com,4020 Acosta Radial Apt. 324,42587,San Diego,California,CA,US,US31920178585981584659,Huawei,4G/5G,Windows,San Diego,0.0,0.0,0,264159,161.160.58.166,161.160.58.166,161.160.58.166,Cox Communications,5342c035914d47b1bdaac614b0b060ff,Mozilla/5.0 (Windows; 12) AppleWebKit/537.36,96
51FC2154-5058-40,John,Coleman,(438)549-5570,John_Coleman@yahoo.com,yahoo.com,2954 Thomas Shoal Suite 611,30616,San Diego,California,CA,US,US76482216899705558631,Lenovo,4G/5G,Android,San Diego,0.0,0.0,0,105539,10.163.73.85,10.163.73.85,10.163.73.85,Comcast,cd28e2b7fd2043a792af953f02b2cb7b,Mozilla/5.0 (Android; 13) AppleWebKit/537.36,95
51009B95-AC25-4E,Tiffany,Phillips,875-827-7412,Tiffany_Phillips@protonmail.com,protonmail.com,9289 Christopher Ramp Suite 440,93320,Los Angeles,California,CA,US,US56397537841116554982,Dell Inc.,4G/5G,Windows,San Jose,0.21476194152914208,0.7271290190834888,0,9196,215.79.188.70,103.68.208.11,146.108.167.35,Verizon,17dc8a2231b842ffb133f85b2e2d4ebb,Mozilla/5.0 (Windows; 13) AppleWebKit/537.36,0
98808038-2621-4B,Andrew,Brown,(850)534-8194x708,Andrew_Brown@protonmail.com,protonmail.com,8747 Williams Dam,13483,Houston,Texas,TX,US,US82216888697835538959,"Samsung Electronics Co., Ltd.",Fixed Broadband (Fibre/Cable/DSL),iOS,New York,0.0,0.5713721488275043,1,1553,163.147.148.78,41.240.153.162,185.177.109.101,AT&T,d013ca1412ce4b248e48cae00b099ebd,Mozilla/5.0 (iOS; 12) AppleWebKit/537.36,0
539EBD07-0C90-4E,Jason,Huang,001-981-697-3638,Jason_Huang@protonmail.com,protonmail.com,96131 Pamela Haven Suite 641,66640,San Jose,California,CA,US,US57900240299465843122,Lenovo,Satellite,MacOS,San Antonio,0.34850810749940364,0.026642002084445116,1,7772,70.216.225.144,70.216.225.144,70.216.225.144,Comcast,0797547bb2b9465089beb0631f19789d,Mozilla/5.0 (MacOS; 13) AppleWebKit/537.36,0
F973C622-19B5-43,Michelle,Wright,3645480778,Michelle_Wright@icloud.com,icloud.com,482 Roberts Locks Apt. 735,30425,New York,New York,NY,US,US58084765865537465517,Google LLC,4G/5G,Android,Houston,0.889055441196828,0.17621678611465652,0,1811,246.202.116.223,128.39.193.127,43.95.160.219,Verizon,260a74957eb443d39a8d4fcd02d5ae31,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,0
CB6731AB-B8E7-46,Richard,Smith,595-746-8724x1636,Richard_Smith@protonmail.com,protonmail.com,68235 Payne Avenue,25592,Houston,Texas,TX,US,US58013021778709711311,Huawei,Fixed Broadband (Fibre/Cable/DSL),Android,Houston,0.0,0.0,0,112902,125.164.71.188,125.164.71.188,125.164.71.188,Cox Communications,09842dad90254161aa40b5f3d3804e6a,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,96
F8BE28C3-A939-4A,Matthew,Greene,264.658.5870x99885,Matthew_Greene@yahoo.com,yahoo.com,0730 Mcmillan Flat,21729,Chicago,Illinois,IL,US,US74284444951113031172,Huawei,Mobile Broadband,Linux,San Jose,0.9268487252521421,0.14868356118612458,1,3195,97.35.179.39,97.35.179.39,97.35.179.39,T-Mobile,270a590355d24d9d8e1f5cc8281442d1,Mozilla/5.0 (Linux; 13) AppleWebKit/537.36,0
36ACBEC3-F4F5-4F,Amber,Mendez,583-846-6207x212,Amber_Mendez@icloud.com,icloud.com,59296 Candice Heights Suite 237,50136,San Antonio,Texas,TX,US,US91057692071112551800,Dell Inc.,Satellite,Android,San Antonio,0.0,0.0,0,282979,50.41.7.28,50.41.7.28,50.41.7.28,Charter Spectrum,819fb30c48b14eeda034af0ebdcabf29,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,100
3F7259BA-EEC8-4B,Christopher,Rodriguez,579.806.9654x193,Christopher_Rodriguez@gmail.com,gmail.com,8965 King Village Apt. 036,64742,San Diego,California,CA,US,US64430420318246015638,Google LLC,4G/5G,MacOS,San Diego,0.0,0.0,0,60517,138.246.162.203,138.246.162.203,138.246.162.203,Comcast,c2ea4f83cbb246209d43ec4b63224bd9,Mozilla/5.0 (MacOS; 12) AppleWebKit/537.36,100
EDAEB003-0379-41,Jennifer,Parker,504-276-1284,Jennifer_Parker@protonmail.com,protonmail.com,97932 Mike Center Suite 546,53038,Philadelphia,Pennsylvania,PA,US,US13126066332326174787,Huawei,Satellite,iOS,Philadelphia,0.0,0.0,0,180508,107.147.193.145,107.147.193.145,107.147.193.145,Cox Communications,b96334f703eb48e6ba7aa83490b38765,Mozilla/5.0 (iOS; 11) AppleWebKit/537.36,100
F42B8226-4DA9-47,Elizabeth,Holder,+1-682-816-8717x731,Elizabeth_Holder@yahoo.com,yahoo.com,07023 Beasley Estate,59349,Houston,Texas,TX,US,US17330994944648741974,Apple Inc.,Satellite,Linux,Houston,0.0,0.0,0,238885,33.171.176.235,33.171.176.235,33.171.176.235,Verizon,b0804278a9f9427c88e984f5578a27ec,Mozilla/5.0 (Linux; 14) AppleWebKit/537.36,100
28D13740-1C26-49,Erin,Thompson,444.501.8398x2977,Erin_Thompson@gmail.com,gmail.com,978 John Pass Suite 062,72737,Phoenix,Arizona,AZ,US,US77456519740489891412,Huawei,4G/5G,Android,Phoenix,0.0,0.0,0,102549,118.219.181.73,118.219.181.73,118.219.181.73,AT&T,8581f2b3d15d41858a4b071aaa3264e9,Mozilla/5.0 (Android; 12) AppleWebKit/537.36,100
3CF078DB-D498-43,Kelly,Santos,225.337.8757,Kelly_Santos@yahoo.com,yahoo.com,29986 Rebecca Course,91376,Houston,Texas,TX,US,US93045364824535797566,Google LLC,Fixed Broadband (Fibre/Cable/DSL),Android,Houston,0.0,0.0,0,194108,167.142.105.78,167.142.105.78,167.142.105.78,Cox Communications,e79e5eb4cdce4813aab9e96ca66661d6,Mozilla/5.0 (Android; 11) AppleWebKit/537.36,100
FD44A339-CF05-4A,Jenna,Hernandez,001-387-291-8485,Jenna_Hernandez@protonmail.com,protonmail.com,66459 Stephanie Mills,73246,Los Angeles,California,CA,US,US50302438228070026823,Huawei,Fixed Broadband (Fibre/Cable/DSL),Android,Los Angeles,0.0,0.0,0,42777,121.65.213.236,121.65.213.236,121.65.213.236,Cox Communications,8934e51c24554b629ea579bdbf9737ac,Mozilla/5.0 (Android; 14) AppleWebKit/537.36,90
8A7330F1-5CC0-4E,Patricia,Pace,493-759-4537,Patricia_Pace@yahoo.com,yahoo.com,850 Sellers Forks Apt. 383,77776,Los Angeles,California,CA,US,US47102831271383105047,Huawei,4G/5G,MacOS,Los Angeles,0.0,0.7155433316163456,1,7901,152.42.38.136,127.139.102.178,253.12.141.142,Verizon,87fdc710638e4117986415f23e57c0e3,Mozilla/5.0 (MacOS; 12) AppleWebKit/537.36,20
1C681367-8CC0-41,Lisa,Moreno,250.932.8387x223,Lisa_Moreno@gmail.com,gmail.com,31325 Anthony Camp Apt. 501,82036,San Jose,California,CA,US,US76219697314488091390,"Samsung Electronics Co., Ltd.",Fixed Broadband (Fibre/Cable/DSL),Linux,Phoenix,0.0,0.0,1,8545,237.189.184.231,24.43.79.82,187.112.107.201,Charter Spectrum,4d9c4bb5aabb48bd872d3d355e031306,Mozilla/5.0 (Linux; 13) AppleWebKit/537.36,31
82E065EA-E58F-4E,Stephanie,White,787-207-5758,Stephanie_White@protonmail.com,protonmail.com,30700 Jonathan Extensions,92609,San Jose,California,CA,US,US41721369522094872578,Huawei,Fixed Broadband (Fibre/Cable/DSL),iOS,San Jose,0.0,0.0,0,213673,242.48.23.201,242.48.23.201,242.48.23.201,Charter Spectrum,6fed31944a894399b5f8def392d7f755,Mozilla/5.0 (iOS; 14) AppleWebKit/537.36,100
32EBA548-F81F-45,Tyler,Sandoval,+1-594-688-7098x6250,Tyler_Sandoval@outlook.com,outlook.com,00918 Santiago Green Apt. 631,39563,San Jose,California,CA,US,US49740505218003316912,Dell Inc.,4G/5G,Android,San Jose,0.0,0.0,0,231437,31.26.164.5,31.26.164.5,31.26.164.5,T-Mobile,5c641ff176db4fca8848722a95be58ba,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,91
2E078CE5-11A8-49,Jasmine,Hall,001-337-810-4012x33804,Jasmine_Hall@icloud.com,icloud.com,0209 Garcia Branch,67284,San Antonio,Texas,TX,US,US47203985101102807398,Google LLC,Satellite,MacOS,San Antonio,0.0,0.0,0,136794,9.89.220.116,9.89.220.116,9.89.220.116,Verizon,f3bc60243daa44dbb1a4ab2fa8aaba76,Mozilla/5.0 (MacOS; 13) AppleWebKit/537.36,100
07F65B54-B704-4B,Michelle,Maldonado,279-633-0404x6814,Michelle_Maldonado@icloud.com,icloud.com,381 Ramirez Rapids,70524,Chicago,Illinois,IL,US,US60352629257452765189,"Samsung Electronics Co., Ltd.",Mobile Broadband,Linux,Chicago,0.0,0.0,0,55886,239.187.53.233,239.187.53.233,239.187.53.233,Charter Spectrum,7543ce3279f049ae93bb74156a68e1e1,Mozilla/5.0 (Linux; 13) AppleWebKit/537.36,93
781DF766-0865-4E,Brandi,Thomas,934-966-8100x2220,Brandi_Thomas@gmail.com,gmail.com,8989 Rivers Curve,95461,San Antonio,Texas,TX,US,US29650656614166919728,Google LLC,Fixed Broadband (Fibre/Cable/DSL),Android,San Diego,0.4806440810936874,0.0,1,2609,213.248.106.102,65.209.156.240,253.140.219.31,Verizon,b7cb9f1f5c2b4346a0c80f226c555676,Mozilla/5.0 (Android; 14) AppleWebKit/537.36,8
4E1BDE08-1401-4E,Connor,Norris,642.965.8674x565,Connor_Norris@gmail.com,gmail.com,47733 Maxwell Estate,50418,Phoenix,Arizona,AZ,US,US83725451148327492516,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),MacOS,Phoenix,0.0,0.0,0,251244,54.253.234.27,54.253.234.27,54.253.234.27,AT&T,ef2c2238667a4364aacbb09ab2b6d737,Mozilla/5.0 (MacOS; 10) AppleWebKit/537.36,100
A85B926C-11D7-43,Kerry,Gonzalez,884.686.6390x7286,Kerry_Gonzalez@outlook.com,outlook.com,46718 Jackson Canyon,41747,San Jose,California,CA,US,US37833583939407397018,Huawei,Satellite,Android,Los Angeles,0.028381723109310197,0.5030221556311597,0,2671,55.1.31.146,55.1.31.146,55.1.31.146,AT&T,8998fdcd4c45459fa25295fa4b9d39fb,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,14
C6C0AC22-E76F-43,Anthony,Flores,975-494-1079,Anthony_Flores@protonmail.com,protonmail.com,212 Hill Rapids,49887,Los Angeles,California,CA,US,US67605242823569319175,Apple Inc.,Mobile Broadband,iOS,Phoenix,0.0,0.8056076388755883,1,4767,18.3.140.177,25.119.188.246,28.26.186.169,Verizon,379b88e0805743b8b09e83260830df5b,Mozilla/5.0 (iOS; 13) AppleWebKit/537.36,3
052C7395-614E-40,Lisa,Davis,865.337.1633x3508,Lisa_Davis@outlook.com,outlook.com,80742 Smith Burg Apt. 612,97646,Dallas,Texas,TX,US,US67783501787464660409,"Samsung Electronics Co., Ltd.",Mobile Broadband,Windows,Dallas,0.0,0.0,0,101491,209.221.219.213,209.221.219.213,209.221.219.213,AT&T,58a2088e802443cfbe6052a8d2ece3af,Mozilla/5.0 (Windows; 13) AppleWebKit/537.36,100
8E26CB6B-8918-4B,Jose,Miller,807-354-1659x67158,Jose_Miller@gmail.com,gmail.com,039 Ellison Track,94362,San Jose,California,CA,US,US70909976477032626484,Lenovo,4G/5G,Linux,San Jose,0.0,0.0,0,82278,124.117.20.128,124.117.20.128,124.117.20.128,Comcast,96f9aec915dd450f84d1f502919cbdaa,Mozilla/5.0 (Linux; 13) AppleWebKit/537.36,100
758C4F1A-7317-4C,Jeremiah,Bailey,758-277-0042,Jeremiah_Bailey@protonmail.com,protonmail.com,41774 Rachel Lakes,45669,San Antonio,Texas,TX,US,US34169928620645764100,Apple Inc.,4G/5G,iOS,San Antonio,0.0,0.0,0,233853,118.217.215.228,118.217.215.228,118.217.215.228,T-Mobile,0e332bc332fd47d69c04f92a169dd27d,Mozilla/5.0 (iOS; 10) AppleWebKit/537.36,96
94E8E350-5193-4B,Susan,Carter,510-498-0918,Susan_Carter@yahoo.com,yahoo.com,276 Nicole Track,82732,San Diego,California,CA,US,US22079125565169460140,Google LLC,Mobile Broadband,iOS,San Diego,0.6087657532144206,0.6224967151185404,0,3387,178.99.112.113,159.190.229.152,42.173.14.184,T-Mobile,1c43eeebf3c24b568db78edbd8adde2a,Mozilla/5.0 (iOS; 10) AppleWebKit/537.36,11
678FF761-02CC-4B,Natalie,Howard,949-911-7279x404,Natalie_Howard@hotmail.com,hotmail.com,1474 Mack Gateway,18284,New York,New York,NY,US,US97312042992944174211,Huawei,Fixed Broadband (Fibre/Cable/DSL),Linux,New York,0.0,0.0,0,212605,179.170.74.60,179.170.74.60,179.170.74.60,Cox Communications,1f75f4e381f54ecda3c990f1ff6d6bea,Mozilla/5.0 (Linux; 10) AppleWebKit/537.36,96
C9D9F059-8AD5-4E,Eric,Ward,734.921.8045x48425,Eric_Ward@protonmail.com,protonmail.com,0230 Peterson Rest Suite 638,64310,San Diego,California,CA,US,US46677513331982109809,"Samsung Electronics Co., Ltd.",4G/5G,Windows,San Diego,0.0,0.0,0,170800,28.104.56.194,28.104.56.194,28.104.56.194,Charter Spectrum,405f54940de94267ba58ef922ba1a047,Mozilla/5.0 (Windows; 13) AppleWebKit/537.36,95
9516D032-BFE6-48,David,Harris,001-817-781-2760x150,David_Harris@yahoo.com,yahoo.com,447 Davis Burgs Suite 817,21866,Dallas,Texas,TX,US,US60607488667909250266,Lenovo,4G/5G,Android,Dallas,0.0,0.0,0,233142,123.66.167.185,123.66.167.185,123.66.167.185,Comcast,4a1eff442f8c45d6b8d53cd7bb54bca2,Mozilla/5.0 (Android; 12) AppleWebKit/537.36,100
F8FE1EE5-037A-4B,Scott,Pierce,921.438.3778x88351,Scott_Pierce@yahoo.com,yahoo.com,63895 Pamela Path,10096,New York,New York,NY,US,US63977531578382479691,Google LLC,Satellite,MacOS,San Diego,0.0,0.30141244225619,1,8089,219.103.56.1,183.5.125.162,84.199.224.6,Charter Spectrum,2b6bbdb44ad44e528487ea0862045584,Mozilla/5.0 (MacOS; 12) AppleWebKit/537.36,9
2C110E39-58CF-45,Brenda,Miller,001-696-233-5586x882,Brenda_Miller@yahoo.com,yahoo.com,60011 Cannon Shores Apt. 572,21190,San Diego,California,CA,US,US35912713869748270152,Apple Inc.,Mobile Broadband,Android,San Diego,0.0,0.0,0,154947,176.244.251.245,176.244.251.245,176.244.251.245,Verizon,7f64b02a62ae478f93340311fff5fbe2,Mozilla/5.0 (Android; 11) AppleWebKit/537.36,97
06468AED-1AA9-4F,Joshua,Johnson,839-208-3183x63901,Joshua_Johnson@outlook.com,outlook.com,5752 Nicholas Locks Suite 764,46258,Los Angeles,California,CA,US,US97286910422872243861,Google LLC,Fixed Broadband (Fibre/Cable/DSL),iOS,Los Angeles,0.0,0.0,0,209193,78.28.146.193,78.28.146.193,78.28.146.193,T-Mobile,83801f933a1042bc87e3fc07ff9768ed,Mozilla/5.0 (iOS; 13) AppleWebKit/537.36,98
2E846921-EBFC-49,Tiffany,Morales,5336924134,Tiffany_Morales@hotmail.com,hotmail.com,600 Ronald Square,84915,San Jose,California,CA,US,US96597883813130631186,"Samsung Electronics Co., Ltd.",Mobile Broadband,Android,Los Angeles,0.0,0.0,0,253,8.170.13.231,180.193.230.38,223.222.133.138,Charter Spectrum,9f362c77d5bd4bdfb1e5a39a72dc5ba5,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,56
BC5915CE-CE4E-4F,Ashley,Harmon,714-989-6522x3473,Ashley_Harmon@icloud.com,icloud.com,005 Shane Burgs,68735,Philadelphia,Pennsylvania,PA,US,US16864445896893908662,Google LLC,4G/5G,Android,Philadelphia,0.0,0.0,0,80291,201.187.226.97,201.187.226.97,201.187.226.97,Charter Spectrum,9d05c0cb654f4f948dff3252801e8940,Mozilla/5.0 (Android; 12) AppleWebKit/537.36,98
952CAE28-ACD4-4A,Elizabeth,Butler,449.511.1728x982,Elizabeth_Butler@outlook.com,outlook.com,5891 Prince Coves,12781,New York,New York,NY,US,US46735898738362385041,"Samsung Electronics Co., Ltd.",Fixed Broadband (Fibre/Cable/DSL),Android,San Jose,0.0,0.5424162572824408,1,1079,218.188.65.242,218.188.65.242,218.188.65.242,Cox Communications,27896cb4973a431a9810c207f632650a,Mozilla/5.0 (Android; 14) AppleWebKit/537.36,11
2F11122E-9A0D-43,David,Watson,(645)298-7784,David_Watson@icloud.com,icloud.com,18246 Christina Plains,97648,Philadelphia,Pennsylvania,PA,US,US33904178741748830232,Dell Inc.,4G/5G,Windows,Philadelphia,0.0,0.0,0,265807,114.221.64.242,114.221.64.242,114.221.64.242,Verizon,6e6b601bb0734a6aba35611aafbcb040,Mozilla/5.0 (Windows; 12) AppleWebKit/537.36,93
27775BFB-37E8-44,Austin,Marks,657.668.2362,Austin_Marks@outlook.com,outlook.com,7906 Kathryn Shoal,86892,Dallas,Texas,TX,US,US31512531270765771727,Huawei,4G/5G,Android,Dallas,0.0,0.0,0,248566,47.96.41.86,47.96.41.86,47.96.41.86,Verizon,a791f68b9a8942e9bef597e89e772d91,Mozilla/5.0 (Android; 11) AppleWebKit/537.36,97
648DA744-EE94-4F,Randy,Little,(343)859-0454x557,Randy_Little@hotmail.com,hotmail.com,87084 Catherine Glens,62556,Phoenix,Arizona,AZ,US,US81266563157347455295,Dell Inc.,Mobile Broadband,Linux,San Antonio,0.0,0.6030532430170393,1,4289,161.255.193.173,67.196.213.25,26.254.141.250,Cox Communications,184be5882e194afd988e04b779b9165b,Mozilla/5.0 (Linux; 13) AppleWebKit/537.36,0
5A5636FE-2102-42,Derrick,Walton,295-207-7246,Derrick_Walton@outlook.com,outlook.com,37390 Jeffrey Throughway Suite 996,92655,New York,New York,NY,US,US41824687225653137385,Apple Inc.,4G/5G,MacOS,New York,0.0,0.0,0,265651,47.41.187.81,47.41.187.81,47.41.187.81,T-Mobile,f207bf8716474453bdea145765ce9d95,Mozilla/5.0 (MacOS; 11) AppleWebKit/537.36,100
8BBEC8C7-4B67-47,Aaron,Shelton,574.533.1179,Aaron_Shelton@outlook.com,outlook.com,799 Timothy Spur Suite 082,47195,San Antonio,Texas,TX,US,US95133415115010575999,Apple Inc.,4G/5G,Windows,San Antonio,0.0,0.0,0,298559,46.165.200.147,46.165.200.147,46.165.200.147,T-Mobile,61c4d02c107d42ae8cdaa323dddefc98,Mozilla/5.0 (Windows; 14) AppleWebKit/537.36,100
EDC86DC2-A3F4-46,Elizabeth,Williams,266.541.4891x4737,Elizabeth_Williams@outlook.com,outlook.com,70500 Shelly Pass Suite 330,27640,Houston,Texas,TX,US,US12084240914141041646,Dell Inc.,Satellite,Android,Houston,0.0,0.0,0,286540,182.43.243.134,182.43.243.134,182.43.243.134,Cox Communications,4cf7b4f6710f42cb9cdb6a40e506244b,Mozilla/5.0 (Android; 10) AppleWebKit/537.36,100
