Cust_RefID,Cust_FirstName,Cust_LastName,Cust_PhoneNo,Cust_EmailAddress,Cust_EmailDomain,Cust_StreetAddress,Cust_Zip,Cust_AddressCity,Cust_AddressState,Cust_AddressStateISO,Cust_AddressCountry,Cust_Acct_IBAN,Cust_EstablishedIP,UserSessionInputIP,UserTrueIP,UserIP_Blacklist,TrueIP_Blacklist,True IP City,Device_ID,Device_Manufacturer,VirtualMachineSession,ISP,ISP City,Connection Type,UserAgent,UA_OS,Page activity time,FinalScore
757Y5875B10960WA,Drew,Good,1-738-928-7801,Good9945@hotmail.com,hotmail.com,"P.O. Box 728, 8618 Felis St.",45155,Fairbanks,Indiana,IN,US,US50STSI41288967922799,78.78.49.30,78.78.49.30,78.78.49.30,,,Fairbanks,eb1ffa15f102e7a61828da73f712b702,Google Inc./Others,,Ridge Wireless LLC,Fairbanks,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Android; Android 5.1; Nexus 9 Build/LRX22C) AppleWebKit/535.3 (KHTML, like Gecko) Chrome/55.0.3600.150 Mobile Safari/601.1",mobile,309000,86
749H2409W96161RA,Bree,Crawford,1-481-295-5340,Bree9349@gmx.com,gmx.com,"P.O. Box 254, 6677 Dui Street",71627,Aurora,Maine,ME,US,US84624485201294768429858357,53.210.237.200,53.210.237.200,53.210.237.200,,,Aurora,d147f933ff553f68634137e4c621a236,,,"Atlantic Broadband Finance, LLC",Aurora,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/50.0,Linux,285000,97
276G3592O99806HZ,Aurelia,Cline,1-552-167-1114,Aurelia_Cline@hotmail.com,hotmail.com,Ap #365-9707 Magna. St.,66815,Birmingham,New Jersey,NJ,US,US433860122086384861,179.156.59.156,179.156.59.156,179.156.59.156,,,Birmingham,c9d30d382ae091a48da64b821c1e24ef,Apple Inc.,,Xchange Telecom LLC,Birmingham,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_7; like Mac OS X) AppleWebKit/533.49 (KHTML, like Gecko) Chrome/50.0.3541.298 Mobile Safari/536.2",iphone,199000,98
393C8030V66295VC,Keaton,Mercer,1-286-131-5273,Mercer7288@yahoo.com,yahoo.com,2013 Sed Av.,72279,South Burlington,Vermont,VT,US,US06FIBL4787381164681,26.153.216.14,26.153.216.14,26.153.216.14,,,South Burlington,4a96a59b479c382837063a836a48b253,"Samsung Electronics Co., Ltd.",,Shoreham Telephone LLC,South Burlington,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 5.1; SAMSUNG SM-G935T Build/LMY47X) AppleWebKit/535.3 (KHTML, like Gecko) Chrome/51.0.1266.250 Mobile Safari/537.2",mobile,209000,83
245D1080T11493KP,Leah,Holt,1-388-207-2016,LeahHolt@titan.email,titan.email,407-8088 Purus Ave,71248,Houston,Pennsylvania,PA,US,US0713222883457119680666,32.174.33.110,32.174.33.110,32.174.33.110,,,Houston,7d266e287f60eeea6ba8f1a2d2b8c5a2,Apple Inc.,,New Cingular Wireless LLC,Houston,Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_2; like Mac OS X) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/47.0.1397.351 Mobile Safari/602.9",mobile,164000,99
412Q5981G63567VI,Daria,Kidd,1-765-781-5732,Daria_Kidd@outlook.com,outlook.com,408-8404 Nec Road,85285,Montgomery,Vermont,VT,US,US5172733382951112,64.198.141.36,64.198.141.36,64.198.141.36,,,Montgomery,409cda6e8fda38e2b79faf27a0334c33,Apple Inc.,,Shoreham Telephone LLC,Montgomery,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_9; like Mac OS X) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/53.0.1235.272 Mobile Safari/602.5",iphone,121000,91
479X7944G77954ZD,Linus,Heath,1-839-576-6120,Linus8517@zoho.com,zoho.com,223-4716 Egestas. St.,90155,Kaneohe,Hawaii,HI,US,US55NKLE6545456344312925,254.87.14.220,254.87.14.220,254.87.14.220,,,Kaneohe,4ed4c56c0ac5a4da08cb2023c018282f,,,Dish Wireless LLC,Kaneohe,Mobile Broadband,Mozilla/5.0 (Windows; Windows NT 10.0;; en-US) Gecko/20100101 Firefox/67.6,Linux,338000,92
327B1322E77910WK,Fredericka,Griffith,1-144-472-2275,FrederickaGriffith@gmail.com,gmail.com,989-1418 Tempus Avenue,81285,Knoxville,Pennsylvania,PA,US,US0703453226644344579432077630,174.6.210.56,174.6.210.56,174.6.210.56,,,Knoxville,b4d834b253d84d540e694c325c08e838,,,New Cingular Wireless LLC,Knoxville,Mobile Broadband,Mozilla / 5.0 (compatible; MSIE 9.0; Windows; Windows NT 10.3; Win64; x64 Trident / 5.0),windows,192000,83
615P4375D95586EN,Constance,Lindsay,1-262-305-7656,Constance.Lindsay@protonmail.com,protonmail.com,Ap #230-5118 Nibh Rd.,84428,Bellevue,Kentucky,KY,US,US7552146931664812,219.8.87.170,219.8.87.170,219.8.87.170,,,Bellevue,b5a0fa3f67a4fd2c1200d63ccebfa333,,,"Sage Telecom Communications, LLC",Bellevue,Mobile Broadband,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/59.6,Linux,170000,97
272R9769S45528VP,Penelope,Booth,1-471-728-4582,Penelope_Booth@titan.email,titan.email,901-7700 Pede St.,65794,Erie,Pennsylvania,PA,US,US12349311235818457161,124.204.40.72,124.204.40.72,124.204.40.72,,,Erie,2db353e2f04ed28730fe7a2d47c5adc7,,,New Cingular Wireless LLC,Erie,Mobile Broadband,"Mozilla/5.0 (U; Linux i673 ; en-US) AppleWebKit/602.6 (KHTML, like Gecko) Chrome/55.0.1059.143 Safari/601",chrome,248000,95
606C2881H45949JJ,Isaiah,Glass,1-969-532-7235,Glass3181@aim.com,aim.com,Ap #549-812 Donec Av.,97505,Fresno,Ohio,OH,US,US2733499761183003977583,192.175.240.196,192.175.240.196,192.175.240.196,,,Fresno,63bad803c54cec4ed5f9fbd1edb66582,,,"North American Local, LLC",Fresno,Mobile Broadband,Mozilla / 5.0 (compatible; MSIE 11.0; Windows NT 6.2; Win64; x64; en-US Trident / 7.0),windows,83000,92
861X4000N23314NK,Angelica,Ortega,1-781-408-2234,Angelica6578@gmail.com,gmail.com,236-888 Duis St.,85782,Tulsa,Oklahoma,OK,US,US5143745366751306147764,126.152.173.252,126.152.173.252,126.152.173.252,,,Tulsa,dd9ece0d7f0c9c01cc4af6d720e32a0c,,,"Skybeam, LLC",Tulsa,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux; Linux i650 x86_64; en-US) Gecko/20100101 Firefox/45.3,mac,77000,83
818C6779B85581UU,Sean,Kim,1-457-663-4518,Sean8574@yandex.com,yandex.com,"P.O. Box 571, 2192 Feugiat St.",58746,Burlington,Massachusetts,MA,US,US094618524362138208,237.136.129.75,237.136.129.75,237.136.129.75,,,Burlington,f6e4cede32ec039d53513e71d572a652,,,Westfield Gas + Electric,Burlington,Fixed Broadband (Fibre/Cable/DSL),Mozilla / 5.0 (compatible; MSIE 8.0; Windows; Windows NT 10.1; x64 Trident / 4.0),windows,151000,85
330R1987R52415HT,Gregory,Hendrix,1-817-831-2693,Gregory.Hendrix@yahoo.com,yahoo.com,Ap #944-4188 Erat Avenue,20505,Madison,New Hampshire,NH,US,US73121213144256714642,214.62.246.62,214.62.246.62,214.62.246.62,,,Madison,3d532524736a5139e520901e59d744e8,,,Dailytel Inc.,Madison,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,Mozilla/5.0 (Windows; Windows NT 10.2; x64) Gecko/20100101 Firefox/72.4,Linux,123000,90
157D2884P90885RD,Melinda,Lambert,1-356-228-2666,Lambert6862@gmx.com,gmx.com,Ap #481-5358 Netus Street,36141,Colchester,Vermont,VT,US,US2073881533783938,123.59.31.81,123.59.31.81,123.59.31.81,,,Colchester,9e81b1a8b59541f1429258b4e05f6bb5,Apple Inc.,,Shoreham Telephone LLC,Colchester,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_9; like Mac OS X) AppleWebKit/535.43 (KHTML, like Gecko) Chrome/48.0.3617.391 Mobile Safari/536.3",iphone,184000,93
415S1129Q68633ZM,Shafira,Roy,1-629-742-5161,ShafiraRoy@aol.com,aol.com,Ap #519-9565 Magna Road,75176,Shreveport,Louisiana,LA,US,US27531655710235232514333356,31.155.174.1,31.155.174.1,31.155.174.1,,,Shreveport,28d8f89a16d7eb3a4d98b765cec261b9,,,"CoxCom, LLC",Shreveport,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/533.32 (KHTML, like Gecko) Chrome/50.0.1852.352 Safari/600",mac,175000,80
952V3524R86101MT,Kelly,Pitts,1-248-213-1006,Pitts9186@aol.com,aol.com,Ap #500-9311 Luctus Rd.,71583,Wichita,Kansas,KS,US,US2475835876145590372424,138.208.214.233,138.208.214.233,138.208.214.233,,,Wichita,87def81ff6fa72140802bea46013aeb3,Apple Inc.,,"North American Local, LLC",Wichita,Mobile Broadband,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_9_8; en-US) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/48.0.1599.221 Safari/602",chrome,217000,96
541G3383K32386WY,Jeanette,Hess,1-286-292-7783,Jeanette2540@gmail.com,gmail.com,Ap #498-2862 Diam. Rd.,25778,Columbus,New Jersey,NJ,US,US1271641530111506408411867,147.93.116.82,147.93.116.82,147.93.116.82,,,Columbus,92151e93da301d61d795f153591cc90d,,,Xchange Telecom LLC,Columbus,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/73.3,Linux,284000,82
507D9101D31341DV,Maggie,Howard,1-755-482-4464,Maggie_Howard@protonmail.com,protonmail.com,Ap #417-3809 Elit Road,63741,Hilo,Hawaii,HI,US,US91BXQU5834164190,178.23.248.176,178.23.248.176,178.23.248.176,,,Hilo,fd3615a9a20f24964a7ffdc80b455ad4,,,Dish Wireless LLC,Hilo,Mobile Broadband,"Mozilla/5.0 (Linux x86_64) AppleWebKit/534.48 (KHTML, like Gecko) Chrome/48.0.2950.123 Safari/603",windows,183000,97
523Z3648G74254XO,Kevyn,May,1-588-941-4225,KevynMay@yandex.com,yandex.com,"4712 Et, Avenue",48359,Tacoma,Washington,WA,US,US78723637271064266,59.151.95.205,59.151.95.205,59.151.95.205,,,Tacoma,0412cf51490bfc35e85ce9de803861b2,Google Inc./Others,,Computer Link Northwest LLC,Tacoma,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Android 5.1; Nexus 7 Build/LRX22C) AppleWebKit/600.2 (KHTML, like Gecko) Chrome/52.0.2789.218 Mobile Safari/536.5",mobile,65000,83
653J8229H29537QN,Sylvia,Paul,1-844-549-5332,Paul3934@gmx.com,gmx.com,7648 Mauris Road,27233,Huntsville,Alabama,AL,US,US823576141217556877,3.193.96.162,3.193.96.162,3.193.96.162,,,Huntsville,e421157d1bb76824bd7e02f0fb270be2,,,Frontier Communications Corporation,Huntsville,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/50.2,mac,267000,86
468B7692K55803KI,Elmo,Sandoval,1-335-687-7057,Elmo_Sandoval@protonmail.com,protonmail.com,Ap #292-8499 Nunc Avenue,65245,Lincoln,Massachusetts,MA,US,US8533558151524542636,17.71.8.86,17.71.8.86,17.71.8.86,,,Lincoln,ffddacfb8759972020ce3a7a0fe0352d,Apple Inc.,,Westfield Gas + Electric,Lincoln,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_8; en-US) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/47.0.1466.327 Safari/601",windows,234000,95
769N3377A60745EB,Rogan,Ratliff,1-413-467-2479,Rogan.Ratliff@yahoo.com,yahoo.com,"Ap #442-1192 Eu, Rd.",35215,Salem,Massachusetts,MA,US,US91PFRO82339040784853,192.134.26.212,192.134.26.212,192.134.26.212,,,Salem,7f203d009a59e30b92ffc00472ae629f,Sony Corporation,,Westfield Gas + Electric,Salem,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Android; Android 7.0; Xperia Build/NDE63X) AppleWebKit/537.42 (KHTML, like Gecko) Chrome/53.0.3508.277 Mobile Safari/600.3",mobile,102000,88
421E8944C57937US,Cody,Gonzalez,1-446-627-8816,Cody2331@hotmail.com,hotmail.com,Ap #133-6059 Justo St.,33654,Dallas,Pennsylvania,PA,US,US9843562163670567,104.58.225.40,104.58.225.40,104.58.225.40,,,Dallas,7fc33aa1088967c4577fd7415281d6cd,,,New Cingular Wireless LLC,Dallas,Mobile Broadband,Mozilla / 5.0 (compatible; MSIE 10.0; Windows NT 10.4; Win64; x64; en-US Trident / 6.0),windows,200000,94
289I8191W85504SW,Caleb,Hancock,1-826-343-9117,Caleb3361@icloud.com,icloud.com,"P.O. Box 986, 7023 Lorem Avenue",95362,Tuscaloosa,Alabama,AL,US,US4168641850759261556658,15.61.5.246,15.61.5.246,15.61.5.246,,,Tuscaloosa,3e16041aa18020d19575adba586f5a36,,,Frontier Communications Corporation,Tuscaloosa,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows NT 10.4; WOW64; en-US) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/55.0.2986.217 Safari/534",chrome,168000,83
575N3318E36372CV,Kai,Gregory,1-376-421-0769,Kai.Gregory@hubspot.com,hubspot.com,"Ap #785-3005 Nec, Rd.",89716,Salt Lake City,Utah,UT,US,US843772671218095605,159.114.30.215,159.114.30.215,159.114.30.215,,,Salt Lake City,d22aae7f75e36b013bda11b6dca4ec5a,,,Cellco Partnership,Salt Lake City,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,Mozilla/5.0 (Windows NT 6.0;) Gecko/20100101 Firefox/46.0,windows,329000,90
306E7903L27208CM,Lance,Rasmussen,1-211-166-8274,LanceRasmussen@hotmail.com,hotmail.com,Ap #592-4665 Velit Road,30353,Covington,Pennsylvania,PA,US,US5150135001713431278873325,46.238.182.18,46.238.182.18,46.238.182.18,,,Covington,31e543cfeafe80582bd2705b359c61f8,Apple Inc.,,New Cingular Wireless LLC,Covington,Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_9; like Mac OS X) AppleWebKit/602.50 (KHTML, like Gecko) Chrome/51.0.2442.288 Mobile Safari/536.0",iphone,102000,85
673U1734P73377FI,Burton,Britt,1-898-663-2374,Burton1851@gmx.com,gmx.com,"P.O. Box 770, 2902 Nunc Ave",99464,Rock Springs,Wisconsin,WI,US,US687HURSI81489672152352457,225.13.17.3,225.13.17.3,225.13.17.3,,,Rock Springs,01bd3ea8b6e333388908f5ebca2187cd,,,"Matrix Telecom, LLC",Rock Springs,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows NT 10.1; x64) AppleWebKit/537.16 (KHTML, like Gecko) Chrome/49.0.2614.294 Safari/601",chrome,174000,91
947H6969I71892LO,Scarlett,Kane,1-288-329-7574,Scarlett.Kane@yahoo.com,yahoo.com,"Ap #228-4835 Vitae, Av.",59114,Southaven,Mississippi,MS,US,US5521447656169920377717,106.172.208.7,106.172.208.7,106.172.208.7,,,Southaven,08f3391f5786a82ebaa3ede6bbf0f242,,,Foundation for California Community Colleges,Southaven,Mobile Broadband,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/54.0.3286.346 Safari/601",mac,371000,84
370C6449H12756SR,Kieran,Cooke,1-265-167-3597,Cooke6676@pm.com,pm.com,"P.O. Box 552, 8910 Dis Avenue",92628,Wilmington,Massachusetts,MA,US,US5464052527577965562031,59.5.67.157,59.5.67.157,59.5.67.157,,,Wilmington,74f20c146215fbe6391caf762f831940,,,Westfield Gas + Electric,Wilmington,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows; Windows NT 10.5; x64; en-US) AppleWebKit/534.11 (KHTML, like Gecko) Chrome/52.0.3467.206 Safari/534",chrome,204000,81
637X3350R76383RH,Linus,Goodwin,1-577-434-3556,Linus.Goodwin@aim.com,aim.com,5308 Dictum Ave,45735,Baton Rouge,Louisiana,LA,US,US04YRCP09026377348445,27.46.141.238,27.46.141.238,27.46.141.238,,,Baton Rouge,a00bd1fc1e1e8e5bcd6e732f8a403fd1,,,"CoxCom, LLC",Baton Rouge,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows NT 6.0; Win64; x64; en-US) AppleWebKit/602.37 (KHTML, like Gecko) Chrome/50.0.1807.188 Safari/601",chrome,82000,83
795U2839P96995RJ,Cherokee,Snider,1-844-542-7847,Cherokee_Snider@outlook.com,outlook.com,495-5752 Tellus Rd.,30677,New Orleans,Louisiana,LA,US,US982130872355303474509,146.146.128.175,146.146.128.175,146.146.128.175,,,New Orleans,7aa53160fa564ef9b57ee576da4c178d,HTC Corporation,,"CoxCom, LLC",New Orleans,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Android; Android 5.0; HTC [M8|M9|M8 Pro Build/LRX22G) AppleWebKit/600.27 (KHTML, like Gecko) Chrome/55.0.3283.200 Mobile Safari/533.9",android,162000,81
192Q1187T72567DN,Grace,York,1-249-238-4854,Grace6738@aim.com,aim.com,Ap #416-5709 Eu Avenue,36816,Tucson,Arizona,AZ,US,US465759657125114417886164,124.188.128.93,124.188.128.93,124.188.128.93,,,Tucson,72cecbeae4955e6775cba13c27e503f3,,,Global Connection Inc. of America,Tucson,Mobile Broadband,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/71.2,windows,201000,86
324L5681M98513QE,Drake,Dickson,1-523-558-1883,Drake_Dickson@icloud.com,icloud.com,"494-613 Non, Road",72826,Carson City,Michigan,MI,US,US5481874252687813955435247,229.158.250.1,229.158.250.1,229.158.250.1,,,Carson City,e31111021a2038a95972be5b93dc47e9,Apple Inc.,,Q Link Wireless LLC,Carson City,Mobile Broadband,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_2_7; en-US) Gecko/20130401 Firefox/57.2,mac,105000,94
180R2656T86197UT,Ulla,Schwartz,1-509-141-6658,Ulla.Schwartz@gmx.com,gmx.com,"Ap #588-8076 A, Rd.",85811,Rutland,Massachusetts,MA,US,US2550324263748445,12.82.247.11,12.82.247.11,12.82.247.11,,,Rutland,9df36726f0c09c85ca8fed7e75d27859,Apple Inc.,,Westfield Gas + Electric,Rutland,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6; like Mac OS X) AppleWebKit/602.31 (KHTML, like Gecko) Chrome/48.0.2779.145 Mobile Safari/602.8",mobile,219000,98
301S1550Q84928XK,Dalton,Bradley,1-856-216-4688,Dalton2029@zoho.com,zoho.com,187-4814 Maecenas St.,70117,Helena,New York,NY,US,US6675178465341,47.99.177.16,47.99.177.16,47.99.177.16,,,Helena,bc386f8a67fd1dca1e33097fd500f88e,HTC Corporation,,Andrena,Helena,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 6.0.1; HTC One_M8 Pro Build/MRA58K) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/47.0.1038.153 Mobile Safari/602.1",android,133000,92
224E5550Y28501LB,Tate,Farley,1-422-381-4786,Farley5071@hubspot.com,hubspot.com,Ap #279-9492 Dictum St.,85402,Huntsville,Alabama,AL,US,US7449698938724421613843,3.185.233.159,3.185.233.159,3.185.233.159,,,Huntsville,062b05357db245ae2b0c5607c6d8505a,Google Inc./Others,,Frontier Communications Corporation,Huntsville,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 7.1; Nexus 5 Build/NPD90G) AppleWebKit/536.42 (KHTML, like Gecko) Chrome/55.0.3604.324 Mobile Safari/600.0",android,323000,99
